UserID,QuestionID,StudentAnswer,ResponseRating
72990867-1a8a-4092-be67-1a290d6d7149,q1-1,"Ich würde gerne FritzCola kaufen wobei eine FritzCola 2€ kostet das spricht 3*4+2*4=20€",
0d8571e7-26e3-40a0-852e-9b5fe1993ee0,q1-1,"18 €",
0d8571e7-26e3-40a0-852e-9b5fe1993ee0,q1-1,"5 und 10",
0d8571e7-26e3-40a0-852e-9b5fe1993ee0,q1-2,30=l.b,
0d8571e7-26e3-40a0-852e-9b5fe1993ee0,q1-3,"30= 2b. b",
72990867-1a8a-4092-be67-1a290d6d7149,q1-1,"(2x+x)*2=6x ==> 30/6= 5m (B=5m, L=10m)",
72990867-1a8a-4092-be67-1a290d6d7149,q1-2,"30/4=7,5",
72990867-1a8a-4092-be67-1a290d6d7149,q1-3,30/3=10,
72990867-1a8a-4092-be67-1a290d6d7149,q2-1,"Weil die Wurzeln zuerst pflanzen sind",
72990867-1a8a-4092-be67-1a290d6d7149,q2-2,Warum,
72990867-1a8a-4092-be67-1a290d6d7149,q2-3,Darum,
72990867-1a8a-4092-be67-1a290d6d7149,q3-1,"3-2=1 ===> 100/1 = 100 Heft",
72990867-1a8a-4092-be67-1a290d6d7149,q3-2,"100/3=33 heft",
72990867-1a8a-4092-be67-1a290d6d7149,q3-3,100/2=50€,
0d8571e7-26e3-40a0-852e-9b5fe1993ee0,q2-1,"Sind lebenswichtig sind",
0d8571e7-26e3-40a0-852e-9b5fe1993ee0,q2-2,"Weiß ich nicht",
0d8571e7-26e3-40a0-852e-9b5fe1993ee0,q2-3,"Weiß ich nicht",
72990867-1a8a-4092-be67-1a290d6d7149,q4-1,KA,
72990867-1a8a-4092-be67-1a290d6d7149,q4-2,KA,
72990867-1a8a-4092-be67-1a290d6d7149,q4-3,Ka,
0d8571e7-26e3-40a0-852e-9b5fe1993ee0,q3-1,10,
0d8571e7-26e3-40a0-852e-9b5fe1993ee0,q3-2,10,
0d8571e7-26e3-40a0-852e-9b5fe1993ee0,q3-3,10,
72990867-1a8a-4092-be67-1a290d6d7149,q5-1,"Unregelmäßige ",
72990867-1a8a-4092-be67-1a290d6d7149,q5-2,"Nicht verständlich ",
72990867-1a8a-4092-be67-1a290d6d7149,q5-3,"Nicht verständlich ",
72990867-1a8a-4092-be67-1a290d6d7149,q6-1,"2/3 ist größer weil die Nener größer ist ",
72990867-1a8a-4092-be67-1a290d6d7149,q6-2,KA,
72990867-1a8a-4092-be67-1a290d6d7149,q6-3,Ka,
72990867-1a8a-4092-be67-1a290d6d7149,q7-1,"Wärmestrahlung, wärmekonvektion, Wärmeleitung ",
72990867-1a8a-4092-be67-1a290d6d7149,q7-2,"Wärmeschutz ",
72990867-1a8a-4092-be67-1a290d6d7149,q7-3,"Wärmeaustausch ",
72990867-1a8a-4092-be67-1a290d6d7149,q8-1,"1,2,3,5,7",
72990867-1a8a-4092-be67-1a290d6d7149,q8-2,"1,2,3,4,5",
72990867-1a8a-4092-be67-1a290d6d7149,q8-3,"1,2,3,4,5 ",
72990867-1a8a-4092-be67-1a290d6d7149,q9-1,KA,
72990867-1a8a-4092-be67-1a290d6d7149,q9-2,KA,
72990867-1a8a-4092-be67-1a290d6d7149,q9-3,KA,
0d8571e7-26e3-40a0-852e-9b5fe1993ee0,q4-1,"	•	Lichtabsorption: Chlorophyll nimmt Sonnenlicht auf. 	•	Wasser- und CO₂-Aufnahme: Aus Boden und Luft. 	•	Umwandlung: Lichtenergie + CO₂ + Wasser → Glukose + Sauerstoff.",
0d8571e7-26e3-40a0-852e-9b5fe1993ee0,q4-2,"Keine Ahnung ",
0d8571e7-26e3-40a0-852e-9b5fe1993ee0,q4-3,"Keine Ahnung ",
